Date,^GSPC,^NDX,^DJI,^KS11,^N225,000001.SS,^HSI,^STOXX50E,^BVSP,^NSEI,GC=F,SI=F,CL=F,BZ=F,NG=F,HG=F,ZC=F,ZW=F,BTC-USD,ETH-USD,DX-Y.NYB,EURUSD=X,USDJPY=X,USDKRW=X,GBPUSD=X,CNY=X
2024-06-12,5421.02978515625,19465.1796875,38712.2109375,2728.169921875,38876.7109375,3037.468017578125,17937.83984375,5034.43017578125,119936.0,23322.94921875,2336.0,30.176000595092773,78.5,82.5999984741211,3.0450000762939453,4.581500053405762,454.25,617.0,68241.1875,3559.61767578125,104.6500015258789,1.0740330219268799,157.10499572753906,1377.3599853515625,1.274047613143921,7.246699810028076
2024-06-13,5433.740234375,19576.919921875,38647.1015625,2754.889892578125,38720.46875,3028.9189453125,18112.630859375,4935.5,119568.0,23398.900390625,2300.199951171875,28.989999771118164,78.62000274658203,82.75,2.9590001106262207,4.507500171661377,458.5,620.0,66756.3984375,3469.28125,105.19999694824219,1.0813149213790894,156.8000030517578,1370.4100341796875,1.27962327003479,7.238100051879883
2024-06-14,5431.60009765625,19659.80078125,38589.16015625,2758.419921875,38814.55859375,3032.633056640625,17941.779296875,4839.14013671875,119662.0,23465.599609375,2331.39990234375,29.402000427246094,78.44999694824219,82.62000274658203,2.88100004196167,4.551000118255615,450.0,612.75,66011.09375,3480.27197265625,105.55000305175781,1.0738831758499146,157.1280059814453,1373.739990234375,1.2755101919174194,7.2515997886657715
2024-06-15,,,,,,,,,,,,,,,,,,,66191.0,3565.549560546875,,,,,,
2024-06-16,,,,,,,,,,,,,,,,,,,66639.046875,3620.5634765625,,,,,,
2024-06-17,5473.22998046875,19902.75,38778.1015625,2744.10009765625,38102.44140625,3015.89111328125,17936.119140625,4880.419921875,119138.0,,2312.39990234375,29.325000762939453,80.33000183105469,84.25,2.7880001068115234,4.521500110626221,443.75,591.5,66490.296875,3511.37890625,105.31999969482422,1.0702168941497803,157.54600524902344,1382.280029296875,1.2683112621307373,7.254300117492676
2024-06-18,5487.02978515625,19908.859375,38834.859375,2763.919921875,38482.109375,3030.24609375,17915.55078125,4915.47021484375,119630.0,23557.900390625,2330.39990234375,29.5049991607666,81.56999969482422,85.33000183105469,2.9089999198913574,4.561999797821045,450.0,582.0,65140.74609375,3483.681396484375,105.26000213623047,1.0740677118301392,157.6999969482422,1379.06005859375,1.2715997695922852,7.255000114440918
2024-06-19,,,,2797.330078125,38570.76171875,3018.049072265625,18430.390625,4885.4501953125,120261.0,23516.0,,,,,,,,,64960.296875,3559.347412109375,,1.0742292404174805,157.87100219726562,1378.6099853515625,1.2707449197769165,7.252699851989746
2024-06-20,5473.169921875,19752.30078125,39134.76171875,2807.6298828125,38633.01953125,3005.43701171875,18335.3203125,4947.72998046875,120446.0,23567.0,2353.800048828125,30.775999069213867,82.16999816894531,85.70999908447266,2.740999937057495,4.618000030517578,439.75,572.75,64828.65625,3511.0869140625,105.58999633789062,1.0751532316207886,157.95799255371094,1381.1500244140625,1.2721998691558838,7.25629997253418
2024-06-21,5464.6201171875,19700.4296875,39150.328125,2784.260009765625,38596.46875,2998.137939453125,18028.51953125,4907.2998046875,121341.0,23501.099609375,2316.39990234375,29.572999954223633,80.7300033569336,85.23999786376953,2.7049999237060547,4.49399995803833,435.0,561.5,64096.19921875,3516.07568359375,105.80000305175781,1.0706409215927124,158.93099975585938,1391.8199462890625,1.2660471200942993,7.259099960327148
